english_name,thai_name,brand,price,serving_size,calories,total_fats,saturated_fat,cholesterol,protein,total_carbohydrates,dietary_fibre,total_sugars,sodium,image,category,ingredients,allergens
Fried Ham Sandwich with Tonkatsu Sauce and Egg Salad, (แอนวิชแฮมทอดซอสทงคัตสึและสลัดไข่ ตรา อีทโตะ,EZYGO,35,80,230,10,3,5,7,29,,7,490,,Sandwich and Toasts,,
Ham and cheese sandwich,แซนด์วิชไส้แฮมชีส,Oishi Eato,29,77,200,8,2.5,10,7,26,,5,580,,Sandwich and Toasts,,
Tuna Salad Sandwich,แซนวิชไส้ทูน่าสลัด,Oishi Eato,27,77,200,7,2.5,10,8,27,,4,380,,Sandwich and Toasts,,
Alaska Crab Stick & Japanese Style Seaweed Salad,,Oishi Eato,27,73,200,8,2,5,5,27,,5,460,,Sandwich and Toasts,,
Ham Cheese Sandwich,แซนด์วิชแฮมชีส,EZYGO,29,75,210,11,4,5,6,21,,4,380,,Sandwich and Toasts,,
Egg Salad Sandwich,แซนด์วิชสลัดไข่,EZYGO,27,80,220,12,6,5,7,21,,2,320,,Sandwich and Toasts,,
Soft-boiled Egg,ไข่ลวก,CP,18,92,120,7,2,350,12,1,,0,180,,Sides,,
Boiled Eggs,ไข่ไก่ต้มสุก,CP,18,100,140,9,2,420,12,1,,0,280,,Sides,,
Medium Boiled Egg,ไข่ไก่ต้มยางมะตูม,CP,11,,,,,,,,,,,,Sides,,
Onsen Egg,ไข่ออนเซ็น (ไข่ลวกสไตล์ญี่ปุ่น),CP,13,,,,,,,,,,,,Sides,,
Salted Eggs Less Salty Recipe,ไข่เค็ม สูตรเค็มน้อย,CP,15,52,90,6,2,305,7,21,,0,510,,Sides,,
"Hard-boiled chicken eggs, peeled",ไข่ไก่ต้มสุกปอกเปลือก,CP,11,,,,,,,,,,,,Sides,,
Herbal boiled eggs,ไข่ต้มสมุนไพร,CP,13,,,,,,,,,,,,Sides,,
Egg Tofu,เต้าหู้ไข่,CP,11,120,72,3.6,1.2,168,6,2.4,0,0,372,,Sides,,
Steamed Egg Cup - Original Flavor,ไข่ตุ๋นคัพ รสดั้งเดิม,CP,20,,,,,,,,,,,,Sides,,
Khai-tun-cup (Steamed Egg Cup) Japanese Style,ไข่ตุ้นคิพ (ไข่ตุ๋นชนิดด้วย) สไตล์ญี่ปุ่น,CP,20,150,80,4.5,1.5,105,6,4,,1,680,,Sides,,
